method; model; mean acc; med acc; mean cmp; med cmp
"s = 32,  \tau = 0:7, \gamma = 80%"; 12; 0.404565823; 0.184207115; 0.890139158; 0.189668164
"s = 32,  \tau = 0:7, \gamma = 80%"; 13; 0.374043675; 0.148564834; 4.076519236; 0.260391311
"s = 32,  \tau = 0:7, \gamma = 80%"; 15; 0.462020942; 0.222044837; 0.814581422; 0.231308928
"s = 32,  \tau = 0:7, \gamma = 80%"; 23; 0.560979215; 0.259191546; 0.714175356; 0.259456515
"s = 32,  \tau = 0:7, \gamma = 80%"; 24; 0.980701051; 0.194687917; 0.957760362; 0.201693724
"s = 32,  \tau = 0:7, \gamma = 80%"; 29; 0.799159891; 0.255982034; 1.54002879; 0
"s = 32,  \tau = 0:7, \gamma = 80%"; 32; 0.425918399; 0.230068142; 1.201028275; 0.181970486
"s = 32,  \tau = 0:7, \gamma = 80%"; 33; 0.509588234; 0.200750105; 0.80618283; 0
"s = 32,  \tau = 0:7, \gamma = 80%"; 34; 0.345939544; 0.224078627; 0.466228479; 0.203255368
"s = 32,  \tau = 0:7, \gamma = 80%"; 48; 1.297244747; 0.250079484; 1.450901932; 0.245734576
"s = 32,  \tau = 0:7, \gamma = 80%"; 49; 1.137038852; 0.190676692; 0.834759344; 0
"s = 32,  \tau = 0:7, \gamma = 80%"; 62; 1.107879764; 0.251845484; 1.515207706; 0.146909992
"s = 32,  \tau = 0:7, \gamma = 80%"; 75; 2.427821048; 0.210749349; 0.58230113; 0
"s = 32,  \tau = 0:7, \gamma = 80%"; 77; 3.766843585; 0.310440403; 0.102291108; 0
"s = 32,  \tau = 0:7, \gamma = 80%"; 110; 0.268066331; 0.145947702; 0.959039021; 0.170909273
"s = 32,  \tau = 0:7, \gamma = 80%"; 114; 0.230614166; 0.145532016; 0.628327692; 0.209497101
"s = 32,  \tau = 0:7, \gamma = 80%"; 118; 0.230048534; 0.132598858; 1.13870066; 0.219915083

"s = 32, adapt \beta = 6, \gamma = 80%"; 1; 0.260015603; 0.157537022; 3.115431727; 0.227533917
"s = 32, adapt \beta = 6, \gamma = 80%"; 4; 0.263296224; 0.171994804; 5.431165335; 0.255075524
"s = 32, adapt \beta = 6, \gamma = 80%"; 9; 0.433919511; 0.249238839; 0.791717015; 0.228584837
"s = 32, adapt \beta = 6, \gamma = 80%"; 10; 0.349443722; 0.215064065; 1.610788658; 0.163674159
"s = 32, adapt \beta = 6, \gamma = 80%"; 11; 0.383170944; 0.210175637; 4.084462297; 0.336003278
"s = 32, adapt \beta = 6, \gamma = 80%"; 12; 0.345129942; 0.196202118; 0.959363125; 0.184757773
"s = 32, adapt \beta = 6, \gamma = 80%"; 13; 0.421978496; 0.163949736; 4.062766807; 0.23581664
"s = 32, adapt \beta = 6, \gamma = 80%"; 15; 0.395071034; 0.227721272; 1.037467648; 0.223758533
"s = 32, adapt \beta = 6, \gamma = 80%"; 23; 0.686992375; 0.259721774; 0.951441123; 0.249675295
"s = 32, adapt \beta = 6, \gamma = 80%"; 24; 0.869977096; 0.207020989; 1.540976824; 0.193884746
"s = 32, adapt \beta = 6, \gamma = 80%"; 29; 0.640739776; 0.249996406; 2.874241109; 0
"s = 32, adapt \beta = 6, \gamma = 80%"; 32; 0.366353834; 0.241024081; 2.648831576; 0.181955168
"s = 32, adapt \beta = 6, \gamma = 80%"; 33; 0.538440129; 0.197539626; 1.310174028; 0
"s = 32, adapt \beta = 6, \gamma = 80%"; 34; 0.300794477; 0.224866798; 0.562797597; 0.204036473
"s = 32, adapt \beta = 6, \gamma = 80%"; 48; 0.627454774; 0.229381743; 2.477001509; 0.257783933
"s = 32, adapt \beta = 6, \gamma = 80%"; 49; 0.834853345; 0.17879354; 1.583215529; 0
"s = 32, adapt \beta = 6, \gamma = 80%"; 62; 0.498150444; 0.259785283; 2.921748795; 0.148138766
"s = 32, adapt \beta = 6, \gamma = 80%"; 75; 0.996589824; 0.212585718; 1.087706617; 0
"s = 32, adapt \beta = 6, \gamma = 80%"; 77; 2.055074248; 0.288816532; 0.145615885; 0
"s = 32, adapt \beta = 6, \gamma = 80%"; 110; 0.273041822; 0.1625889; 1.030990576; 0.166994378
"s = 32, adapt \beta = 6, \gamma = 80%"; 114; 0.244767325; 0.151828934; 0.880376737; 0.206558023
"s = 32, adapt \beta = 6, \gamma = 80%"; 118; 0.237674006; 0.137463448; 1.659415318; 0.217806884

"s = 64,  \tau = 0:7, \gamma = 0%"; 1; 0.333050079; 0.146315218; 3.015355413; 0.206499542
"s = 64,  \tau = 0:7, \gamma = 0%"; 4; 0.439558218; 0.181881621; 3.454365687; 0.21503347
"s = 64,  \tau = 0:7, \gamma = 0%"; 9; 0.607789431; 0.262877031; 0.569532346; 0.196322105
"s = 64,  \tau = 0:7, \gamma = 0%"; 10; 0.435827699; 0.20739864; 1.510469083; 0.147297582
"s = 64,  \tau = 0:7, \gamma = 0%"; 11; 0.455348993; 0.190499366; 3.210898546; 0.239904372
"s = 64,  \tau = 0:7, \gamma = 0%"; 12; 0.487273929; 0.239127317; 0.790293357; 0.170961853
"s = 64,  \tau = 0:7, \gamma = 0%"; 13; 0.417279459; 0.11629912; 3.974069122; 0.21037918
"s = 64,  \tau = 0:7, \gamma = 0%"; 15; 0.523188226; 0.280966932; 0.634339022; 0.189641207
"s = 64,  \tau = 0:7, \gamma = 0%"; 23; 0.612195531; 0.304223621; 0.586885059; 0.195141779
"s = 64,  \tau = 0:7, \gamma = 0%"; 24; 0.697683155; 0.213666208; 0.967750139; 0.163167381
"s = 64,  \tau = 0:7, \gamma = 0%"; 29; 0.900035168; 0.266627993; 1.35094582; 0
"s = 64,  \tau = 0:7, \gamma = 0%"; 32; 0.601273258; 0.273457976; 1.07073418; 0.153975415
"s = 64,  \tau = 0:7, \gamma = 0%"; 33; 0.543621753; 0.287814091; 0.78705255; 0
"s = 64,  \tau = 0:7, \gamma = 0%"; 34; 0.473597867; 0.305542554; 0.436446039; 0.177763175
"s = 64,  \tau = 0:7, \gamma = 0%"; 48; 1.225450026; 0.288255821; 1.151472463; 0.180856241
"s = 64,  \tau = 0:7, \gamma = 0%"; 49; 0.582551047; 0.208051735; 0.91368187; 0
"s = 64,  \tau = 0:7, \gamma = 0%"; 62; 0.680526877; 0.323280317; 1.420677803; 0.125589365
"s = 64,  \tau = 0:7, \gamma = 0%"; 75; 1.206020005; 0.207677665; 0.40845122; 0
"s = 64,  \tau = 0:7, \gamma = 0%"; 77; 1.488981426; 0.141832768; 0.082397861; 0
"s = 64,  \tau = 0:7, \gamma = 0%"; 110; 0.427789632; 0.102532088; 0.66964571; 0.150636014
"s = 64,  \tau = 0:7, \gamma = 0%"; 114; 0.293952447; 0.151509635; 0.581397811; 0.188204828
"s = 64,  \tau = 0:7, \gamma = 0%"; 118; 0.310391264; 0.117837396; 0.849602857; 0.184488543

"s = 64,  \tau = 0:7, \gamma = 80%"; 1; 0.259909108; 0.141206031; 3.070999294; 0.233298548
"s = 64,  \tau = 0:7, \gamma = 80%"; 4; 0.333253187; 0.157239366; 3.541933092; 0.250341881
"s = 64,  \tau = 0:7, \gamma = 80%"; 9; 0.496212249; 0.224240565; 0.64845478; 0.22970194
"s = 64,  \tau = 0:7, \gamma = 80%"; 10; 0.357996912; 0.191080437; 1.542804857; 0.163259401
"s = 64,  \tau = 0:7, \gamma = 80%"; 11; 0.342872751; 0.173865996; 3.309060364; 0.311777397
